approach,log_message1,log_message2,diff
with-aggregator,websocket_handler_initialized,handling_websocket_server,0
with-aggregator,handling_websocket_server,http_server_started,0
with-aggregator,http_server_started,new_query_received_from_client_ws,15015
with-aggregator,new_query_received_from_client_ws,query_preprocessing_started,1
with-aggregator,query_preprocessing_started,query_preprocessed,78
with-aggregator,query_preprocessed,websocket_connection_set_for_query,0
with-aggregator,websocket_connection_set_for_query,isomorphic_check_done,1
with-aggregator,isomorphic_check_done,query_is_unique,1
with-aggregator,query_is_unique,stream_processing_from_solid_pod_initialized,2
with-aggregator,stream_processing_from_solid_pod_initialized,stream_credentials_retrieved,0
with-aggregator,stream_credentials_retrieved,subscribing_to_ldes_stream_for_the_latest_events,1
with-aggregator,subscribing_to_ldes_stream_for_the_latest_events,notification_stream_processor_started,7
with-aggregator,notification_stream_processor_started,stream_credentials_retrieved,0
with-aggregator,notification_stream_processor_started,unique_query_registered,1
with-aggregator,unique_query_registered,subscription_to_ldes_stream_was_successful,205
with-aggregator,subscription_to_ldes_stream_was_successful,subscription_to_ldes_stream_was_successful,4
with-aggregator,subscription_to_ldes_stream_was_successful,webhook_notification_received,129
with-aggregator,webhook_notification_received,webhook_notification_received,7855
with-aggregator,webhook_notification_received,latest_event_received_preprocessing_started,10278
with-aggregator,latest_event_received_preprocessing_started,webhook_notification_processed_and_emitted,185
with-aggregator,webhook_notification_processed_and_emitted,latest_event_received_preprocessing_completed_adding_to_rsp_engine_started,436
with-aggregator,latest_event_received_preprocessing_completed_adding_to_rsp_engine_started,latest_event_added_to_rsp_engine,13930
with-aggregator,latest_event_added_to_rsp_engine,latest_event_received_preprocessing_started,810
with-aggregator,latest_event_added_to_rsp_engine,webhook_notification_received,148827
with-aggregator,webhook_notification_received,aggregation_event_sent_to_solid_stream_aggregator_websocket_server,9
with-aggregator,aggregation_event_sent_to_solid_stream_aggregator_websocket_server,aggregation_event_sent_to_solid_stream_aggregator_websocket_server,48
with-aggregator,aggregation_event_sent_to_solid_stream_aggregator_websocket_server,aggregation_event_received_now_publishing_to_client_ws,291
with-aggregator,aggregation_event_received_now_publishing_to_client_ws,latest_event_received_preprocessing_started,5
with-aggregator,latest_event_added_to_rsp_engine,aggregation_event_received_now_publishing_to_client_ws,27
with-aggregator,aggregation_event_received_now_publishing_to_client_ws,aggregation_event_received_now_publishing_to_client_ws,988
with-aggregator,aggregation_event_received_now_publishing_to_client_ws,webhook_notification_received,95
with-aggregator,aggregation_event_received_now_publishing_to_client_ws,aggregation_event_sent_to_solid_stream_aggregator_websocket_server,178
with-aggregator,webhook_notification_received,aggregation_event_received_now_publishing_to_client_ws,9
with-aggregator,latest_event_added_to_rsp_engine,aggregation_event_sent_to_solid_stream_aggregator_websocket_server,3
