Iteration,Client_Events,Out_Of_Order_Events,Out_Of_Order_Percentage,Query_Preprocessing_Avg_ms,Query_Preprocessing_Count,GET_Request_Avg_ms,GET_Request_Min_ms,GET_Request_Max_ms,GET_Request_Count,Event_Preprocessing_Avg_ms,Event_Preprocessing_Min_ms,Event_Preprocessing_Max_ms,Event_Preprocessing_Count,RSP_Engine_Add_Avg_ms,RSP_Engine_Add_Min_ms,RSP_Engine_Add_Max_ms,RSP_Engine_Add_Count,Query_Execution_Rate
4,2160,0,0.00,60.00,1,6.33,0,49,1609,0.32,0,1,2147,7.29,0,46,2147,2860
5,2160,0,0.00,42.00,1,6.42,0,34,1600,0.33,0,4,2148,11.12,0,61,2148,3824
6,2160,0,0.00,71.00,1,6.42,0,66,1593,0.32,0,2,2146,9.20,0,60,2146,3824
7,2160,0,0.00,62.00,1,6.30,0,57,1671,0.29,0,3,2148,4.62,0,43,2148,1912
8,2160,0,0.00,47.00,1,6.42,0,61,1653,0.30,0,1,2148,5.30,0,52,2148,2860
9,2160,0,0.00,70.00,1,6.23,0,49,1596,0.31,0,1,2145,9.57,0,61,2145,3824
10,2160,0,0.00,42.00,1,5.95,0,35,1591,0.27,0,3,2148,9.55,0,67,2148,5736
11,2160,0,0.00,47.00,1,6.11,0,51,1594,0.28,0,4,2146,7.24,0,49,2146,1912
12,2160,0,0.00,70.00,1,6.30,0,39,1610,0.28,0,3,2146,13.23,0,73,2146,5736
13,2160,0,0.00,45.00,1,6.23,0,40,1620,0.30,0,4,2145,5.70,0,62,2145,2864
14,2160,0,0.00,45.00,1,6.22,0,50,1623,0.30,0,4,2145,7.12,0,59,2145,3328
15,2160,0,0.00,70.00,1,6.23,0,78,1582,0.23,0,3,2145,15.99,0,77,2145,5736
16,2160,0,0.00,44.00,1,6.08,0,34,1625,0.28,0,2,2148,9.29,0,70,2148,3824
17,2160,0,0.00,47.00,1,6.39,0,63,1631,0.31,0,3,2148,4.58,0,41,2148,1912
18,2160,0,0.00,44.00,1,6.16,0,46,1617,0.32,0,3,2148,5.22,0,53,2148,3340
19,2160,0,0.00,40.00,1,6.13,0,44,1682,0.27,0,3,2148,5.19,0,44,2148,1912
20,2160,0,0.00,42.00,1,6.53,0,94,1563,0.29,0,1,2146,9.26,0,59,2146,3336
21,2160,0,0.00,43.00,1,6.45,0,183,1632,0.33,0,3,2148,5.34,0,58,2148,2860
22,2160,0,0.00,65.00,1,6.46,0,45,1599,0.32,0,3,2146,10.00,0,56,2146,1912
23,2160,0,0.00,47.00,1,6.44,0,34,1597,0.29,0,2,2146,10.69,0,52,2146,3824
24,2160,0,0.00,69.00,1,6.07,0,39,1586,0.26,0,1,2146,12.42,0,64,2146,3824
25,2160,0,0.00,47.00,1,6.19,0,44,1648,0.29,0,3,2148,6.30,0,44,2148,1912
26,2160,0,0.00,52.00,1,6.39,0,36,1602,0.29,0,3,2147,8.90,0,58,2147,3824
27,2160,0,0.00,46.00,1,6.33,0,144,1562,0.30,0,3,2145,8.68,0,56,2145,2860
28,2160,0,0.00,43.00,1,6.16,0,57,1613,0.28,0,4,2147,7.65,0,59,2147,3824
29,2160,0,0.00,55.00,1,5.97,0,44,1607,0.29,0,3,2147,8.60,0,66,2147,4776
30,2160,0,0.00,71.00,1,6.34,0,41,1565,0.27,0,3,2145,15.06,0,65,2145,3824
31,2160,0,0.00,73.00,1,6.47,0,161,1586,0.30,0,1,2148,9.62,0,50,2148,2860
32,2160,0,0.00,69.00,1,6.40,0,112,1619,0.31,0,4,2148,7.86,0,62,2148,2852
