Clients,Iteration,Client_Events,Client_Duration_ms,Aggregator_CPU_Mean_%,Aggregator_CPU_Max_%,Aggregator_CPU_StdDev_%,Aggregator_RSS_Mean_MB,Aggregator_RSS_Max_MB,Aggregator_RSS_StdDev_MB,Aggregator_HeapUsed_Mean_MB,Aggregator_HeapUsed_Max_MB,Aggregator_HeapUsed_StdDev_MB,Query_Count,Avg_Query_Preprocessing_ms,Aggregator_Duration_ms
1,1,4320,184265,0.07,33.82,0.57,191.90,236.45,1.01,91.65,117.24,1.14,1,0.00,4526002
1,2,2160,183821,4.59,188.20,12.39,235.98,406.43,64.74,106.36,277.68,35.81,1,0.00,734443
1,3,2160,183902,2.29,188.63,8.52,207.52,298.74,17.51,96.09,167.17,8.80,1,0.00,734659
1,4,2160,184334,3.66,176.67,10.79,213.65,297.62,24.34,99.24,166.23,12.71,1,0.00,734470
1,5,2160,184212,4.82,189.56,13.01,215.42,298.09,25.75,98.91,166.56,13.55,1,0.00,734748
1,6,2160,183935,4.28,168.32,11.98,217.54,371.44,37.86,102.75,246.52,26.49,1,0.00,734538
1,7,2160,184393,2.74,192.92,9.35,213.39,327.55,30.10,100.63,201.59,19.84,1,0.00,734269
1,8,2160,184378,3.06,181.68,10.10,218.17,315.98,39.54,103.57,189.90,23.22,1,0.00,734761
1,9,2160,184158,4.37,190.00,12.35,211.91,309.25,23.75,98.60,165.26,11.63,1,0.00,734800
1,10,2160,183816,4.46,203.10,13.62,221.05,335.13,32.45,103.12,203.28,20.17,1,0.00,734605
1,11,2160,184417,3.37,187.19,9.92,215.46,324.79,28.29,99.52,197.79,17.50,1,0.00,734465
1,12,2160,184426,5.51,198.08,14.70,218.78,339.57,30.93,100.59,207.66,18.46,1,0.00,734556
1,13,2160,184539,3.15,182.19,10.41,216.61,298.65,31.86,103.75,169.23,22.89,1,0.00,734403
1,14,2160,184019,3.57,224.87,11.71,217.19,307.18,35.16,104.46,177.33,23.95,1,0.00,734869
1,15,2160,184106,5.30,170.51,14.07,239.49,440.98,72.91,123.56,308.12,61.54,1,0.00,734690
1,16,2160,184745,4.14,178.46,12.34,240.67,566.84,100.06,128.02,436.35,91.24,1,0.00,734558
1,17,2160,184740,2.79,204.71,9.22,209.11,279.02,15.65,95.95,140.37,5.48,1,0.00,734730
1,18,2160,183783,3.15,201.71,10.76,220.39,318.29,36.24,105.41,185.45,26.39,1,0.00,734690
1,19,2160,184645,2.80,173.94,8.92,213.30,294.66,22.47,98.13,165.90,11.17,1,0.00,734725
1,20,2160,184147,4.06,216.76,11.87,230.17,534.52,66.57,117.51,403.84,57.40,1,0.00,734628
1,21,2160,184687,3.01,198.23,9.89,216.40,363.01,29.99,100.17,230.95,18.63,1,0.00,734805
1,22,2160,184472,3.79,196.51,10.29,214.79,330.27,29.75,100.31,201.63,19.43,1,0.00,734690
1,23,2160,183587,4.74,180.94,12.49,213.47,309.25,22.08,97.12,169.40,10.37,1,0.00,734650
1,24,2160,184177,4.51,217.09,12.35,241.67,566.25,89.71,126.15,435.06,80.88,1,0.00,734612
1,25,2160,184588,3.24,184.89,9.65,210.64,285.47,20.24,97.58,160.13,9.80,1,0.00,734308
1,26,2160,184244,4.08,194.28,12.08,254.92,501.11,96.00,121.97,362.62,50.87,1,0.00,734490
1,27,2160,184173,4.00,171.69,11.34,216.54,309.10,29.25,101.74,177.21,18.98,1,0.00,734822
1,28,2160,184551,3.79,191.71,11.47,214.07,340.43,30.32,100.20,210.34,18.47,1,0.00,734885
1,29,2160,184457,4.18,206.86,12.76,215.15,352.21,32.19,102.50,213.59,21.20,1,0.00,734572
1,30,2160,184471,5.16,169.79,13.18,215.68,308.29,24.99,98.98,176.76,11.95,1,0.00,734531
1,31,2160,184819,4.15,185.35,11.25,216.14,292.98,30.08,102.48,166.29,18.81,1,0.00,734603
1,32,2160,184345,3.58,215.44,10.57,224.59,437.20,51.61,110.92,305.25,43.42,1,0.00,734499
1,33,2160,184013,3.78,180.48,11.13,244.21,448.34,80.51,114.31,312.50,43.08,1,0.00,734335
1,34,2160,184520,4.41,227.78,12.62,277.71,636.54,134.91,134.46,499.39,103.12,1,0.00,734552
1,35,2160,184099,4.16,188.15,11.40,214.33,292.91,26.84,100.69,164.92,15.63,1,0.00,734910
