Clients,Successful_Runs,Total_Possible,Avg_Latency_ms,Median_Latency_ms,Min_Latency_ms,Max_Latency_ms,StdDev_Latency_ms,Avg_Add_Event_ms,StdDev_Add_Event_ms,Avg_Fetch_Event_ms,StdDev_Fetch_Event_ms,Avg_Preprocess_ms,StdDev_Preprocess_ms,Total_Preprocess_ms,Total_Add_Events,Total_Fetch_Events,Total_Preprocess_Events
1,35,35,94926,87924,62278,145704,23103,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
2,35,35,104865,87783,62067,223148,44520,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
3,35,35,136550,84241,63118,283765,82865,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
4,35,35,196627,169625,67603,345557,107088,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
5,35,35,245869,287310,67285,417474,129249,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
6,35,35,422370,448979,79450,503340,94625,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
7,35,35,451079,516812,82876,593183,151364,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
8,31,35,573596,607561,51,661806,121647,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
9,30,35,546144,638287,43,719478,215501,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
10,14,35,520773,640532,69261,708211,234351,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
