Clients,Iteration,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_ms
1,1,9.09,10.66,17.41,29.30,37223.00,0.22,0.45,475.00,77606.00
1,2,8.98,11.65,15.35,23.99,32757.00,0.21,0.42,447.00,96712.00
1,3,6.93,8.13,15.41,21.29,32906.00,0.23,0.43,497.00,85672.00
1,4,8.83,9.17,15.69,20.96,33490.00,0.25,0.46,525.00,75154.00
1,5,12.42,12.71,17.26,22.81,36850.00,0.23,0.45,495.00,64606.00
1,6,8.16,9.22,16.34,24.77,34867.00,0.24,0.46,505.00,87004.00
1,7,3.73,4.80,14.23,24.07,30371.00,0.25,0.47,532.00,139080.00
1,8,10.19,12.40,16.89,26.93,36033.00,0.24,0.47,519.00,101196.00
1,9,6.02,7.31,14.82,21.51,31633.00,0.27,0.49,567.00,123510.00
1,10,3.34,4.18,13.22,18.39,28215.00,0.25,0.45,538.00,145704.00
1,11,11.86,12.69,16.76,23.38,35775.00,0.23,0.43,495.00,77849.00
1,12,8.11,8.87,16.45,24.73,35076.00,0.24,0.47,519.00,69912.00
1,13,14.36,14.44,18.20,24.35,38846.00,0.24,0.46,510.00,62278.00
1,14,7.11,10.26,17.09,28.10,36471.00,0.25,0.48,534.00,114451.00
1,15,8.16,10.51,15.53,22.25,33167.00,0.25,0.45,524.00,106764.00
1,16,10.31,11.77,15.63,23.10,33361.00,0.23,0.47,490.00,69095.00
1,17,7.11,9.94,15.46,23.08,32993.00,0.25,0.45,526.00,121001.00
1,18,11.53,13.74,16.89,22.69,36069.00,0.23,0.44,494.00,83197.00
1,19,10.15,13.53,16.73,25.74,35702.00,0.26,0.45,563.00,105505.00
1,20,9.77,9.57,17.85,28.12,38105.00,0.24,0.45,512.00,67552.00
1,21,11.16,13.50,18.15,30.36,38688.00,0.24,0.45,511.00,89656.00
1,22,10.78,11.85,17.33,23.54,36981.00,0.23,0.44,486.00,81864.00
1,23,9.79,12.84,16.40,24.89,34989.00,0.27,0.46,581.00,103990.00
1,24,6.66,9.46,15.36,21.77,32786.00,0.26,0.46,546.00,125704.00
1,25,11.09,13.55,17.60,25.91,37544.00,0.22,0.42,460.00,87924.00
1,26,9.36,10.37,16.92,25.15,36090.00,0.27,0.50,577.00,80401.00
1,27,9.81,13.18,17.82,27.01,38030.00,0.22,0.43,477.00,102478.00
1,28,10.76,13.08,17.57,26.56,37505.00,0.24,0.46,522.00,94506.00
1,29,11.55,12.85,17.67,24.70,37729.00,0.25,0.49,539.00,86642.00
1,30,7.89,10.16,17.15,26.54,36604.00,0.25,0.46,527.00,108857.00
1,31,6.74,9.76,15.46,22.65,32987.00,0.28,0.47,608.00,131128.00
1,32,10.87,11.52,17.64,24.46,37645.00,0.23,0.47,498.00,63030.00
1,33,10.88,13.13,16.11,24.51,34375.00,0.24,0.45,515.00,85282.00
1,34,5.52,8.04,15.24,23.64,32521.00,0.30,0.49,636.00,137514.00
1,35,12.76,13.23,18.96,29.45,40464.00,0.22,0.48,478.00,69581.00
2,1,3.28,4.00,36.96,75.36,78795.00,0.27,0.47,582.00,138848.00
2,2,11.19,12.73,42.86,93.07,91373.00,0.24,0.44,508.00,83005.00
