Clients,Total_Runs,Successful,Failed,Success_Rate_Percent,Avg_Latency_ms,Median_Latency_ms,Min_Latency_ms,Max_Latency_ms,StdDev_Latency_ms
1,35,35,0,100.0,94926,87924,62278,145704,23103
2,35,35,0,100.0,104865,87783,62067,223148,44520
3,35,35,0,100.0,136550,84241,63118,283765,82865
4,35,35,0,100.0,196627,169625,67603,345557,107088
5,35,35,0,100.0,245869,287310,67285,417474,129249
6,35,35,0,100.0,422370,448979,79450,503340,94625
7,35,35,0,100.0,451079,516812,82876,593183,151364
8,35,31,4,88.6,573596,607561,51,661806,121647
9,35,30,5,85.7,546144,638287,43,719478,215501
10,35,14,21,40.0,520773,640532,69261,708211,234351
