Clients,Add_Event_Mean_Overall,Add_Event_SD_Overall,Fetch_Event_Mean_Overall,Fetch_Event_SD_Overall,Fetch_Event_Sum_Overall,Preprocess_Mean_Overall,Preprocess_SD_Overall,Preprocess_Sum_Overall,First_Event_Latency_Mean_ms,First_Event_Latency_SD_ms
1,9.19,11.45,16.53,24.76,1234848.00,0.24,0.46,18228.00,94925.86,23103.17
2,8.31,11.02,40.21,87.72,3002869.00,0.26,0.46,19182.00,104864.80,44519.85
3,6.51,9.34,61.45,135.09,4589049.00,0.28,0.48,21154.00,136550.14,82865.42
4,4.45,6.32,78.46,177.01,5859355.00,0.30,0.49,22481.00,196626.77,107088.32
5,4.48,6.22,95.14,215.12,7104177.00,0.31,0.50,23459.00,245868.86,129249.33
6,3.77,4.19,105.66,247.18,7889735.00,0.34,0.53,25506.00,422370.46,94625.27
7,4.96,6.97,115.81,274.05,8617763.00,0.36,0.54,27038.00,451079.23,151363.96
8,3.03,2.50,122.50,289.36,7977376.00,0.31,0.51,20487.00,508042.57,215432.24
9,4.23,6.01,113.85,278.86,7621948.00,0.32,0.51,21527.00,468123.83,276278.48
10,3.76,4.51,111.56,285.88,6983699.00,0.33,0.52,20421.00,208309.37,295054.92
