Clients,Total_Runs,Successful_Runs,Failed_Runs,Success_Rate_Percent,Avg_Latency_With_Failures_ms,Median_Latency_With_Failures_ms,Avg_Latency_Successful_Only_ms,Median_Latency_Successful_Only_ms,Min_Latency_Successful_ms,Max_Latency_Successful_ms,StdDev_Latency_Successful_ms,Timeout_Penalty_Impact_Factor
1,35,35,0,100.0,94926,87924,94926,87924,62278,145704,23103,1.00
2,35,35,0,100.0,104865,87783,104865,87783,62067,223148,44520,1.00
3,35,35,0,100.0,136550,84241,136550,84241,63118,283765,82865,1.00
4,35,35,0,100.0,196627,169625,196627,169625,67603,345557,107088,1.00
5,35,35,0,100.0,245869,287310,245869,287310,67285,417474,129249,1.00
6,35,35,0,100.0,422370,448979,422370,448979,79450,503340,94625,1.00
7,35,35,0,100.0,451079,516812,451079,516812,82876,593183,151364,1.00
8,35,31,4,88.6,576614,600487,573596,607561,51,661806,121647,1.01
9,35,30,5,85.7,553838,630348,546144,638287,43,719478,215501,1.01
10,35,14,21,40.0,568309,600000,520773,640532,69261,708211,234351,1.09
