Clients,Total_Runs,Successful_Runs,Failed_Runs,Success_Rate_Percent,Avg_Latency_With_Failures_ms,Avg_Latency_Successful_Only_ms,Median_Latency_Successful_ms,Min_Latency_Successful_ms,Max_Latency_Successful_ms,StdDev_Latency_Successful_ms,Avg_Add_Event_ms,StdDev_Add_Event_ms,Avg_Fetch_Event_ms,StdDev_Fetch_Event_ms,Avg_Preprocess_ms,StdDev_Preprocess_ms,Total_Preprocess_ms,Total_Add_Events,Total_Fetch_Events,Total_Preprocess_Events,Avg_Events_Per_Run
1,35,35,0,100.0,94926,94926,87924,62278,145704,23103,9.19,11.45,16.53,24.76,0.24,0.46,18228,74695,74695,74695,2134
2,35,35,0,100.0,104865,104865,87783,62067,223148,44520,8.31,11.02,40.21,87.72,0.26,0.46,19182,74678,74678,74678,2134
3,35,35,0,100.0,136550,136550,84241,63118,283765,82865,6.51,9.34,61.45,135.09,0.28,0.48,21154,74682,74682,74682,2134
4,35,35,0,100.0,196627,196627,169625,67603,345557,107088,4.45,6.32,78.46,177.01,0.30,0.49,22481,74684,74684,74684,2134
5,35,35,0,100.0,245869,245869,287310,67285,417474,129249,4.48,6.22,95.14,215.12,0.31,0.50,23459,74669,74669,74669,2133
6,35,35,0,100.0,422370,422370,448979,79450,503340,94625,3.77,4.19,105.66,247.18,0.34,0.53,25506,74674,74674,74674,2134
7,35,35,0,100.0,451079,451079,516812,82876,593183,151364,4.96,6.97,115.81,274.05,0.36,0.54,27038,74410,74410,74410,2126
8,35,31,4,88.6,576614,573596,607561,51,661806,121647,3.03,2.50,122.48,289.37,0.31,0.51,20483,65109,65110,65110,2100
9,35,30,5,85.7,553838,546144,638287,43,719478,215501,4.34,6.26,112.41,276.75,0.32,0.51,19588,60938,60939,60939,2031
10,35,14,21,40.0,568309,520773,640532,69261,708211,234351,4.66,6.32,95.51,252.53,0.32,0.52,8912,28014,28014,28014,2001
