Clients,Avg_RSP_Processing_Time_ms,Std_RSP_Processing_Time_ms,Min_RSP_Processing_Time_ms,Max_RSP_Processing_Time_ms,Total_Windows_Processed,Avg_Windows_Per_Iteration,Successful_Iterations
1,22.73,4.51,15.25,40.67,198,5.7,35
2,25.33,5.40,13.33,34.86,272,7.8,35
3,27.81,5.45,17.70,40.83,294,8.4,35
4,31.67,3.60,24.73,39.57,286,8.2,35
5,34.50,6.32,23.89,59.00,303,8.7,35
6,42.06,9.01,29.46,65.50,282,8.1,35
7,50.78,6.85,34.38,66.43,297,8.5,35
8,39.26,7.19,24.64,54.67,165,5.3,31
9,40.55,10.48,19.25,68.50,177,5.7,31
10,46.94,17.55,15.10,74.00,90,4.5,20
