Clients,Iteration,Success,Duration_s,Avg_CPU_Total_%,Max_CPU_Total_%,StdDev_CPU_%,Avg_RSS_MB,Max_RSS_MB,Avg_Heap_Used_MB,Max_Heap_Used_MB,Heap_Utilization_%
1,1,TRUE,716,4.8,203.0,12.0,248,472,164,374,90.0
1,2,TRUE,716,889.4,6796.2,1503.8,230,361,148,266,93.4
1,3,TRUE,717,782.7,7041.0,1319.4,225,331,147,236,94.9
1,4,TRUE,717,591.6,7185.6,1125.0,226,324,147,224,94.9
1,5,TRUE,716,602.2,7427.4,969.3,227,507,150,410,94.7
1,6,TRUE,716,665.5,7736.2,1109.0,223,329,146,234,95.6
1,7,TRUE,716,935.7,7742.1,1471.3,223,304,147,214,95.8
1,8,TRUE,716,824.1,7938.7,1389.1,224,387,148,288,95.8
1,9,TRUE,716,918.0,8790.0,1338.2,224,421,148,324,95.9
1,10,TRUE,716,1064.6,8816.5,1472.1,222,383,146,288,96.3
1,11,TRUE,716,955.9,4951.3,1330.6,223,376,146,282,96.0
1,12,TRUE,716,920.2,4942.6,1231.5,224,496,147,395,96.1
1,13,TRUE,716,947.0,8682.7,1365.4,224,539,148,441,95.9
1,14,TRUE,716,988.0,9162.3,1457.9,222,372,146,273,96.3
1,15,TRUE,716,1002.2,9356.2,1409.7,223,351,146,253,96.3
1,16,TRUE,716,1035.2,9265.5,1418.6,222,322,146,221,96.4
1,17,TRUE,717,1063.6,8721.6,1438.1,223,463,147,364,96.3
1,18,TRUE,716,1008.6,9825.9,1469.8,223,493,147,393,96.3
1,19,TRUE,716,980.9,9875.2,1418.0,223,452,147,356,96.4
1,20,TRUE,716,993.1,10311.4,1357.8,223,471,147,371,96.5
1,21,TRUE,717,964.5,10497.7,1365.0,223,509,147,410,96.3
1,22,TRUE,716,975.8,10869.9,1386.2,222,340,146,243,96.5
1,23,TRUE,716,913.7,10587.0,1279.2,224,510,147,410,96.4
1,24,TRUE,716,954.0,10599.3,1345.9,222,325,147,222,96.6
1,25,TRUE,717,1029.6,12171.4,1403.8,223,463,147,363,96.5
1,26,TRUE,716,1053.4,10985.6,1478.0,223,471,147,370,96.7
1,27,TRUE,716,1054.0,9794.0,1375.2,223,539,147,439,96.5
1,28,TRUE,716,1068.3,11772.8,1488.7,223,476,147,375,96.5
1,29,TRUE,716,1070.8,11958.1,1479.2,223,520,147,420,96.5
1,30,TRUE,716,1121.3,11575.8,1613.0,223,350,147,254,96.6
1,31,TRUE,716,1136.3,12218.3,1608.2,223,349,147,255,96.7
1,32,TRUE,716,1069.8,12182.6,1513.8,223,321,147,225,96.6
1,33,TRUE,717,1151.7,11282.5,1622.0,223,438,148,337,96.6
1,34,TRUE,717,1156.1,12741.7,1675.2,223,394,147,296,96.7
1,35,TRUE,716,1127.7,13095.5,1548.4,223,354,147,252,96.6
2,1,TRUE,716,1400.2,13894.6,2213.7,224,279,148,179,96.7
2,2,TRUE,716,1463.4,15811.1,2188.5,225,463,149,364,96.7
2,3,TRUE,716,1561.8,12872.6,2319.5,224,341,149,247,96.6
2,4,TRUE,716,1726.8,12288.6,2601.9,225,276,149,183,96.5
2,5,TRUE,716,1727.3,15361.7,2577.3,225,402,149,304,96.5
2,6,TRUE,716,1858.9,16300.0,2782.6,224,290,149,185,96.7
2,7,TRUE,716,1976.6,15968.0,2929.0,225,411,149,314,96.7
2,8,TRUE,716,1943.6,14472.4,2826.0,225,333,149,236,96.7
2,9,TRUE,716,2011.6,17274.9,2969.4,225,451,149,350,96.6
2,10,TRUE,716,1963.0,14467.7,2893.9,225,325,149,229,96.7
2,11,TRUE,717,2085.1,17788.4,3134.1,225,280,149,183,96.7
2,12,TRUE,716,2164.9,17774.5,3213.6,225,328,149,232,96.7
2,13,TRUE,716,2169.1,13291.2,3043.6,225,288,149,190,96.7
2,14,TRUE,716,2139.5,14070.8,3107.8,225,313,149,214,96.7
2,15,TRUE,717,2370.0,17299.4,3395.4,225,465,149,360,96.6
2,16,TRUE,716,2382.0,18329.3,3377.1,225,322,149,225,96.7
2,17,TRUE,716,2341.7,18921.0,3355.5,225,399,149,303,96.6
2,18,TRUE,716,2537.2,15798.3,3654.8,225,319,149,223,96.6
2,19,TRUE,716,2447.0,18186.9,3536.6,225,418,149,319,96.6
2,20,TRUE,716,2477.9,19321.2,3597.5,225,376,149,271,96.6
