Clients,Total_Runs,Successful_Runs,Failed_Runs,Success_Rate_%,Avg_CPU_%,StdDev_CPU_%,Max_CPU_%,Avg_RSS_MB,StdDev_RSS_MB,Max_RSS_MB,Avg_Heap_Used_MB,StdDev_Heap_Used_MB,Max_Heap_Used_MB,Avg_Heap_Utilization_%,StdDev_Heap_Utilization_%,Avg_Duration_s,StdDev_Duration_s
1,35,35,0,100.0,943.4,211.6,13095.5,224,4,539,148,3,441,96.0,1.2,716,0
2,35,35,0,100.0,2338.6,437.0,23213.4,225,0,486,149,0,384,96.3,0.4,716,0
3,35,35,0,100.0,4601.9,792.4,36242.0,228,1,420,150,0,322,95.1,0.3,717,0
4,35,35,0,100.0,7209.2,822.0,50249.6,229,0,344,150,1,246,94.6,0.3,716,0
5,35,35,0,100.0,9500.9,526.6,60627.7,229,0,323,150,0,228,95.0,0.4,716,0
6,35,35,0,100.0,11023.3,415.7,67892.2,229,0,308,149,0,212,94.5,0.4,716,0
7,35,35,0,100.0,14201.2,344.7,91089.4,214,10,312,149,0,211,94.5,0.2,716,2
8,35,31,4,88.6,16752.7,4459.3,88749.7,230,1,317,151,0,217,94.7,0.3,716,0
9,35,30,5,85.7,21485.7,1036.5,104771.0,229,0,485,151,1,384,95.0,0.4,717,2
10,35,14,21,40.0,378354.1,21515.7,1624781.3,230,0,437,149,0,338,94.4,0.2,716,0
