Clients,Successful_Runs,Total_Runs,Success_Rate_Percent,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_Mean_ms,First_Event_Latency_SD_ms
1,35,35,100.0,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,94925.86,23103.17
2,35,35,100.0,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,104864.80,44519.85
3,35,35,100.0,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,136550.14,82865.42
4,35,35,100.0,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,196626.77,107088.32
5,35,35,100.0,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,245868.86,129249.33
6,35,35,100.0,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,422370.46,94625.27
7,35,35,100.0,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,451079.23,151363.96
8,31,35,88.6,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,573596.45,121647.45
9,30,35,85.7,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,546144.47,215501.49
10,14,35,40.0,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,520773.43,234351.32
