Clients,Iteration,Total_Events,Out_Of_Order_Events,Out_Of_Order_Percentage,Within_Delay_Count,Exceeds_Delay_Count,Exceeds_Delay_Percentage,Mean_Latency_ms,Min_Latency_ms,Max_Latency_ms,StdDev_Latency_ms,P50_Latency_ms,P75_Latency_ms,P90_Latency_ms,P95_Latency_ms,P99_Latency_ms
1,1,12828,99,0.77,99,0,0.00,1586.76,250.00,6264.00,1553.84,1002.00,2504.00,4259.00,4760.00,6264.00
1,2,12804,114,0.89,114,0,0.00,1701.99,249.00,8009.00,1753.96,1250.00,2254.00,4256.00,5257.00,7260.00
1,3,12810,163,1.27,163,0,0.00,1537.02,249.00,9524.00,1645.07,1001.00,2005.00,3506.00,5514.00,8271.00
1,4,12810,110,0.86,110,0,0.00,1596.50,250.00,6514.00,1417.01,1003.00,2256.00,3760.00,4511.00,5260.00
1,5,12810,112,0.87,112,0,0.00,1452.88,249.00,5509.00,1120.05,1251.00,2001.00,3003.00,3756.00,4758.00
1,6,12804,150,1.17,150,0,0.00,1267.04,250.00,9515.00,1599.23,751.00,1255.00,2754.00,4006.00,9015.00
1,7,12804,113,0.88,113,0,0.00,1254.66,249.00,4508.00,1049.16,1002.00,2003.00,2756.00,3259.00,4006.00
1,8,12804,130,1.02,130,0,0.00,1502.63,249.00,9014.00,1664.79,752.00,2003.00,3508.00,5012.00,7762.00
1,9,12804,103,0.80,103,0,0.00,1429.37,250.00,5759.00,1077.59,1252.00,2002.00,3006.00,3505.00,4256.00
1,10,12804,124,0.97,124,0,0.00,1593.31,249.00,7513.00,1533.79,1001.00,2256.00,3506.00,5006.00,6260.00
1,11,12804,116,0.91,116,0,0.00,1358.18,249.00,6259.00,1202.39,1001.00,2003.00,3253.00,3756.00,5262.00
1,12,12792,173,1.35,173,0,0.00,1331.92,250.00,10272.00,1517.55,751.00,1505.00,3506.00,4507.00,6263.00
1,13,12804,128,1.00,128,0,0.00,1142.43,249.00,4757.00,987.13,752.00,1752.00,2504.00,3005.00,4256.00
1,14,12804,149,1.16,149,0,0.00,1326.21,250.00,5257.00,1160.77,1001.00,2002.00,3253.00,3508.00,5008.00
1,15,12810,122,0.95,122,0,0.00,1348.14,249.00,7508.00,1288.25,751.00,2004.00,3001.00,4007.00,4760.00
1,16,12804,106,0.83,106,0,0.00,1471.92,249.00,6261.00,1463.59,1001.00,2006.00,3760.00,5258.00,5761.00
1,17,12804,125,0.98,125,0,0.00,1332.11,249.00,8263.00,1292.88,752.00,1753.00,3254.00,3756.00,5257.00
1,18,12810,141,1.10,141,0,0.00,1654.99,249.00,7264.00,1595.03,1250.00,2253.00,4007.00,4759.00,6511.00
1,19,12804,110,0.86,110,0,0.00,1304.62,249.00,5761.00,1159.90,753.00,1754.00,3005.00,3757.00,4508.00
1,20,12810,161,1.26,161,0,0.00,1062.42,250.00,6262.00,1027.41,750.00,1256.00,2502.00,3251.00,4760.00
1,21,12792,167,1.31,167,0,0.00,1357.95,249.00,6510.00,1433.97,751.00,1751.00,3753.00,4755.00,6260.00
1,22,12804,128,1.00,128,0,0.00,1301.01,249.00,5508.00,1219.85,751.00,2002.00,3007.00,4007.00,5260.00
1,23,12804,121,0.95,121,0,0.00,1436.29,249.00,6011.00,1418.22,1001.00,1753.00,3258.00,5009.00,5761.00
1,24,12804,119,0.93,119,0,0.00,1483.51,249.00,6510.00,1468.74,752.00,2003.00,3507.00,4757.00,6011.00
1,25,12798,134,1.05,134,0,0.00,1316.96,249.00,7260.00,1288.90,752.00,1752.00,2756.00,4005.00,6509.00
1,26,12798,117,0.91,117,0,0.00,1904.33,249.00,10516.00,2029.55,1252.00,2254.00,4258.00,7011.00,9014.00
1,27,12804,163,1.27,163,0,0.00,1213.50,249.00,6510.00,1168.80,751.00,1752.00,2757.00,3756.00,4509.00
1,28,12804,115,0.90,115,0,0.00,1546.77,249.00,7004.00,1545.90,999.00,2250.00,3752.00,5254.00,6256.00
1,29,12810,147,1.15,147,0,0.00,1418.99,249.00,6262.00,1398.34,752.00,1754.00,3756.00,4508.00,5511.00
1,30,12804,176,1.37,176,0,0.00,1479.35,249.00,10012.00,1750.20,750.00,1754.00,4009.00,5505.00,7759.00
1,31,12804,139,1.09,139,0,0.00,1215.98,249.00,5008.00,1083.27,751.00,1753.00,2507.00,3507.00,5008.00
1,32,12804,134,1.05,134,0,0.00,1894.79,249.00,8518.00,2010.43,1250.00,2754.00,5005.00,7009.00,8518.00
1,33,12804,118,0.92,118,0,0.00,1139.51,249.00,5760.00,1065.35,751.00,1504.00,2505.00,3507.00,5258.00
