Clients,Total_Iterations,Total_Events,Total_Out_Of_Order,Out_Of_Order_Percentage,Exceeds_Delay_Count,Exceeds_Delay_Percentage,Avg_Mean_Latency_ms,Avg_Max_Latency_ms
1,35,448170,4568,1.02,0,0.00,1422.15,7033.00
2,35,673902,17344,2.57,507,2.92,7791.82,46338.23
3,35,904092,29156,3.22,3236,11.10,12057.33,70523.57
4,35,1275054,53460,4.19,8891,16.63,14039.34,85781.83
5,35,1524282,71316,4.68,12591,17.66,14118.75,96179.91
6,35,2177652,122145,5.61,29581,24.22,18172.08,106786.20
7,35,2607432,157461,6.04,42061,26.71,19906.32,110866.71
8,35,2790462,177184,6.35,53355,30.11,23351.46,110311.60
9,35,3037932,197038,6.49,63405,32.18,22987.70,109847.86
10,35,3231414,215270,6.66,72615,33.73,24217.22,111848.49
